movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
getting-schooled,"Not Available
",Getting Schooled,en,"In 1983, a group of High School students in a day of detention must run for their lives when a teacher in a wheel chair turns out to be an ex black ops soldier having a murderous flashback.",2.456,07-02-2017,83
gettysburg-2011,"Not Available
",Gettysburg,en,An examination of the Battle of Gettysberg on both the personal and strategic level.,2.624,30-05-2011,86
gfp-bunny,"Not Available
",GFP BUNNY,en,"This metafictional 'remix' of our world under surveillance is the first film in seven years from director Tsuchiya Yutaka, who has constantly addressed the plight of Japanese society. A girl who attempts to poison her mother with thallium is portrayed as an innocent observer who reconstructs and transcends our modern-day malaise. Idol Kuramochi Yuka stars, while actors Watanabe Makiko and Furutachi Kanji provide able support and actual body modification artists, biologists, and plastic surgeons also appear Incidentally, a “GFP Bunny” is a rabbit that glows green due to genetic manipulation.",0.6,22-10-2012,82
ghabe,"Not Available
",Ghabe,en,"A refugee falling in love.  ""Ghabe"" follows a Syrian refugee during the summer of the 2015 migration as he falls in love with a majestic forest in Sweden and a mysterious local woman living on its border.",1.602,20-10-2020,100
ghajini,"Not Available
",Ghajini,ta,"After being hit by an iron rod, Sanjay Ramaswamy, a business tycoon, suffers from anterograde amnesia. He is unable to remember anything beyond fifteen minutes. Under such circumstances, he sets out on a quest to find the people who were responsible for his lover Kalpana's murder.",6.089,14-10-2005,182
ghastlies,"Not Available
",Ghastlies,en,Four sorority sisters accidentally unleash a trio of ghastly ghouls from an underground bunker during a weekend getaway in the country.,0.923,16-12-2016,70
ghastly,"Not Available
",Ghastly,ko,"After his parents are murdered, Bin is taken into the care of relatives. He begins to act strangely, the new occupants of his house experience horrific nightmares, and a mystery unfolds as a terrible secret is revealed.",2.531,04-08-2011,91
ghilli,"Not Available
",Ghilli,ta,"Muthu Pandi, a village strongman, decides to marry Dhanalakshmi, and begins his quest by eliminating everyone who opposes their union - starting with both her brothers. In desperation, Dhanalakshmi decides to escape from the village, and in the process is unwittingly assisted by a university Kabaddi player Velu.",3.4,17-04-2004,168
ghiro-ghiro-tondo,"Not Available
",Ghiro ghiro tondo,en,"Inspired by their beloved Dolomite area in Northeast Italy, a battle theater in World Wars I and II, Gianikian and Ricci Lucchi continue to explore issues of war and peace in their most recent production. The film uses shots of ordinary toys found in the area, many missing limbs and other pieces, to represent, in both direct and oblique ways, the historical period between Fascism, Nazism, and the postwar era.",0.6,24-11-2007,70
gholam,"Not Available
",Gholam,en,An Iranian expat living in London has a shady past and an enigmatic present.,1.062,10-11-2017,94
ghost-adventures,"Not Available
",Ghost Adventures,en,"In 2007, The Sci-Fi Channel premiered ""Ghost Adventures,"" a raw documentary in which 3 men go to Virginia City, NV and Goldfield, NV on a ghost hunting expedition. Virginia City is rife with macabre lore and reputed to be one of the most haunted cities in America. Ghost Adventures has won a Grand Jury Prize for Best Documentary that was given by the New York International Film &amp; Video Festival.",3.855,25-07-2007,87
ghost-blues-the-story-of-rory-gallagher-2010,"Not Available
",Ghost Blues: The Story of Rory Gallagher,en,"Ghost Blues follows the life and career of Rory Gallagher from his upbringing in Cork, his early days with a showband, the brief success of Taste and then his legendary solo career leading up to his health problems in later life and tragic death at the age of just 47. There are archive interviews, both audio and visual, with Rory and contributions from many of his friends and admirers including his brother Donal, Bob Geldof, The Edge, Cameron Crowe, Slash, Johnny Marr, James Dean Bradfield, Ronnie Drew, Bill Wyman, Martin Carthy, band members Ted McKenna and Gerry McAvoy and many more.",2.083,14-09-2010,179
ghost-bride-of-dracula,"Not Available
",Ghost Bride of Dracula,en,"Two vampire hunters go to Ms. Dracula's house to free a captive woman. Things don't go as planned. A re-edit of ""An Erotic Tale of Ms. Dracula""",1.781,03-04-2017,33
ghost-burger,"Not Available
",Ghost Burger,en,"Two kids go hunting for ghosts to help their dad run a burger cafe. An epic sequel to Hardcastle's ""T is For Toilet"" segment of the horror anthology film ""The ABCs of Death"", it takes place 12 years after the accident.",0.6,22-10-2013,23
ghost-exchange,Documentary,Ghost Exchange,en,Wall Street's leading insiders participate in a startling investigation into the potential systems failure looming for the US Stock Market and the impact of automated trading technology as regulators are challenged to act before its too late.,1.355,01-03-2013,88
ghost-eye,"Not Available
",Ghost Eye,en,"Ghost Eye is a raw and unsettling story about a taxi-driving nobody, struggling with pointlessness, booze, and insanity. But deep inside all the madness there's an unusual spark of beauty waiting to be discovered.",0.6,24-02-2020,19
ghost-from-the-machine,"Not Available
",Ghost from the Machine,en,"Wildly grief-stricken over the accidental death of his parents, young techno-geek Cody (Sasha Andreev) cobbles together an electrical device that he hopes will bring the spirits of mom and dad back from beyond the grave. But the machine's power and Cody's deepening obsession threaten the safety of his only remaining family: his younger brother, James (Max Hauser). Matt Osterman directs this ghostly sci-fi thriller that also stars Matthew Feeney.",2.766,01-01-2010,86
ghost-game,Comedy Horror,Ghost Game,en,7 Friends go out to cabin for a weekend of relaxing and find a game that should not be opened!,1.703,01-09-2005,72
ghost-game-2006,"Not Available
",Ghost Game,en,"Ghost Game tells the story of 11 contestants who sign up for a scary reality show which forces them to confront the supernatural and their innermost fears. They're brought to an ancient war museum in Cambodia, which was used as a Khmer Rouge prison twenty years before. Thousands of innocent people were tortured and killed there during the Cambodian war in the 1970s. Now the museum is abandoned, an",0.838,20-04-2006,100
ghost-graduation,"Not Available
",Ghost Graduation,es,A teacher with paranormal abilities helps a group of ghosts graduate high school.,5.652,03-02-2012,88
ghost-house-2017,"Not Available
",Ghost House,en,A young couple go on an adventurous vacation to Thailand only to find themselves haunted by a malevolent spirit after naively disrespecting a Ghost House.,15.11,21-07-2017,92
ghost-in-the-machine-2012,"Not Available
",Ghost in the Machine,en,"Lonely Noreen daydreams of being whisked away by a square-jawed cowboy, but her reality is far more mundane. She lives virtually enslaved on the family farm in the North of England, with only her father's demeaning comments about her weight as company. So it's no wonder that she pays attention to the first thing that's ever shown her any kindness, even if it is an abandoned 60 year-old talking tractor. A friendship quickly develops, Noreen sets about restoring the tractor, and together they hatch a plan to turn the tables on her father.",0.844,02-11-2012,19
ghost-in-the-shell-20,"Not Available
",Ghost in the Shell 2.0,ja,"In the year 2029, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop a highly-wanted hacker known as 'The Puppetmaster'.  Ghost in the Shell 2.0 is a reproduced version of its original 1995 counterpart. Among a numerous enhancements, for the film's 2.0 release, were a number of scenes were overhauled with 3D animation, visual improvements, and soundtrack rerecorded in 6.1 surround sound.",16.008,12-07-2008,85
