movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
the-story-of-skinhead,Not Available,The Story of Skinhead,en,"Don Letts examines the history of this notorious subculture in a fascinating documentary, which features interviews with members of different skinhead scenes through the decades. Beginning in the late 1960s, Don fondly recalls a time of multiracial harmony as youngsters bonded over a love of ska, reggae and smart clothes as white working-class kids were attracted to Jamaican culture and adopted its music and fashions. But when far-right politics targeted skinheads in the 1970s and 1980s, an ugly intolerance emerged, and Don reveals how the once-harmonious subgroup has since struggled to shake this stigma.",1.4,14-10-2016,60
the-story-of-star-wars,Not Available,The Story of Star Wars,en,"The Skywalker family is at the heart of the Star Wars saga. Now hear the inside story of Luke and Anakin Skywalker from the characters who witnessed it all: the famous droid duo C-3PO and R2-D2. Episodes IV,V and VI are explored in ""The Story of Luke Skywalker,"" which follows the young man escaping from his daily chores on Tatooine to his becoming a hero in the Rebal Alliance. In ""The Story of Anakin Skywalker,"" you'll go behind the mask of the greatest Star Wars villain and discover how Darth Vader started life as a young Podracing Champ on Tatooine and later became a headstrong young Jedi seduced by the Dark Side of the Force. With clips from the Star Wars films, C-3PO and R2-D2 take you on an hour-long journey through the saga and prepare you for the explosive final chapter: Star Wars: Episode III Revenge of the Sith.",13.418,18-08-2004,60
the-story-of-technoviking,Not Available,The Story of Technoviking,en,"Imagine this: you go dancing at a parade, there you will be filmed and suddenly this movie appears on the net. An artist makes art out of these images. From that moment on, your face buzzes out into the digital world. This case actually exists. The dancer is called Technoviking. He has become a famous figure on the Internet. However, it also raises a lot of questions: What are the boundaries between personality rights and the freedom of art? Can such a phenomenon be curbed at all by legal means? A feature length documentary on the popular Technoviking-Meme, one of the early big video memes on YouTube that ended up in court.",0.6,14-10-2015,90
the-story-of-the-kelly-gang,Not Available,The Story of the Kelly Gang,en,"Just as Fritz Lang’s Metropolis (1927) is testimony to German silent film art, The Story of the Kelly Gang (1906) symbolises both the birth of the Australian film industry and the emergence of an Australian identity. Even more significantly it heralds the emergence of the feature film format.  The Story of the Kelly Gang, directed by Charles Tait in 1906, is the first full-length narrative feature film produced anywhere in the world.  Only fragments of the original production of more than one hour are known to exist and are preserved at the National Film and Sound Archive, Canberra. (unesco.org)",2.54,26-12-2006,32
the-story-room-the-making-of-lilo-stitch,Not Available,The Story Room: The Making of 'Lilo & Stitch',en,An in-depth look at the making of Lilo & Stitch (2002).,9.97,22-08-2005,126
the-storyteller-2018,Not Available,The Storyteller,en,The love of an enchanted young girl brings wonder and healing to a broken family.,1.593,21-09-2018,89
the-strange-case-of-dr-jekyll-and-mr-hyde-2006,Not Available,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Tony Todd (Clive Barker's Candyman, Final Destination 2) is Dr. Henry Jekyll in this blood-drenched, modern adaptation of the macabre classic. Part crime thriller, part psychological horror, The Strange Case of Dr. Jekyll And Mr. Hyde takes Robert Louis Stevenson's sinister story to chilling new depths as Mr. Hyde leaves a grisly trail while terrorizing local college co-eds. With the police bearing down on him, Mr. Hyde attacks Henry's fiancee in the demented denouement of this twisted tale that must be seen to be believed!",3.261,1/2/06,89
the-strange-case-of-sherlock-holmes-arthur-conan-doyle,Not Available,The Strange Case of Sherlock Holmes & Arthur Conan Doyle,en,"What led Arthur Conan Doyle to create, and then destroy the world famous detective, Sherlock Holmes? This compelling drama explores the dark secrets that surround the author and his creation.",3.463,8/9/05,90
the-strange-mechanic,Not Available,The Strange Mechanic,en,"Auto Kid, who is a seasoned mechanic just like his father and grandfather, grew up in the garage. He often witness lost spirit taking shelter under an automobile, which in turn, causes the vehicle to have an unexplainable breakdown. As he gradually develops the ability to fix cars by returning the spirits to their world, he becomes known for his mysterious skill.",0.6,16-12-2014,18
the-strange-ones-2017,Not Available,The Strange Ones,en,"Mysterious events surround the travels of two brothers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets. This is the feature film version of the 2011 short film going by the same name.",6.843,5/1/18,81
the-strange-saga-of-hiroshi-the-freeloading-sex-machine,Not Available,The Strange Saga of Hiroshi the Freeloading Sex Machine,ja,"Sex Machine tells of the affable but simple Hiroshi, who during one sweltering summer in a small, parochial town, moves in with his girlfriend, Haruka. Their lovemaking is as athletic as it is bizarre but a dark storm comes looming when Haruka's ex boyfriend comes knocking at the door.",3.441,7/10/05,64
