movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
chubby-2019,"Not Available
",Chubby,en,A ten year old girl struggles with the residual trauma of her sexual abuse.,0.6,02-10-2019,22
chuck,"Not Available
",Chuck,en,A drama inspired by the life of heavyweight boxer Chuck Wepner.,8.823,05-05-2017,101
chuck-berry-the-original-king-of-rock-n-roll,"Not Available
",Chuck Berry: The Original King of Rock 'n' Roll,en,Story of Chuck Berry told by his relatives and friends.,2.778,04-04-2019,103
chulsoo-loves-younghee,"Not Available
",Chulsoo Loves Younghee,ko,"Chulsoo is a punk kid who always plays tricks on others. One day, while he is picking on somebody as usual, he meets Younghee, a new transfer student, who becomes his class partner. He starts to like her. Younghee is a precocious smart girl who lives with her grandmother alone. Her grandmother owns a flower shop and she helps her grandma by delivering flowers. Though Younghee looks lively, she misses her deceased parents at heart.",0.652,07-01-2005,84
chunin-exam-on-fire-and-naruto-vs-konohamaru,"Not Available
",Chunin Exam on Fire! and Naruto vs. Konohamaru!,ja,Naruto faces off against his old pupil Konohamaru in a tournament during the chuunin entrance exams.,60.105,30-07-2011,14
chunky-monkey,"Not Available
",Chunky Monkey,en,"Fitness fanatic, Donald Leek, indulges in a monthly Chunky Monkey experience with, someone vaguely resembling movie-songstress, Julie Andrews, who he's expecting at 7:30pm. His obsession with Ms. Andrews (and her posterior) is somewhat disturbing to say the least. Before she arrives however, he has to dispose of the body parts of Mr Azam, manager of his favourite Indian restaurant, who has neglected to send him a Christmas card. He is interrupted by a peculiar assortment of unwelcome visitors, amongst them, Jesus Christ and a one-testicled self-made millionaire. Each one is as unhinged as their host, who retaliates to the intrusion in extreme fashion",0.6,19-03-2003,90
chupacabra-terror,"Not Available
",Chupacabra Terror,en,"Cryptozoologist Doctor Peña traps the legendary Chupacabra on a remote Caribbean Island to make his name in the scientific community. When he smuggles it aboard the cruise ship Regent Queen, commanded by Captain Randolph, the monster breaks out of the cargo hold and makes a smorgasbord out of the passengers and crew.",6.234,29-01-2005,89
chupacabra-vs-the-alamo,"Not Available
",Chupacabra vs. the Alamo,en,"San Antonio, Texas. The bodies of various drug cartel members are turning up mangled and drained of blood. Tough DEA agent Carlos Seguin discovers that the grisly murders are being committed by a pack of chupacabras, which are lethal predatory creatures of local legend. Carlos, his feisty new partner Tracy Taylor, wayward estranged son Tommy, and several others make a desperate last stand against the bloodthirsty beasts at the famous fort The Alamo.",4.19,23-03-2013,88
church-ball,"Not Available
",Church Ball,en,"Dennis Buckstead has the hardest calling in his church. Not only has he been asked to coach a group of non-basketball players in his church but the bishop has demanded that he lead the team to the Basketball Championship. Word from the top is that this is the last season of church ball and Bishop Linderman isn't about to have his team lose for the 20th year in a row in the last season of church ball history! What was supposed to strengthen the body, invigorate the mind and cultivate brotherly love seems to bring out the worst in these church-going ball players. Dennis must find a way to bring his team together and build unity along the way to win the championship or go down in church ball history as the worst team that ever played.",3.207,17-03-2006,91
churchill-and-the-movie-mogul,"Not Available
",Churchill and the Movie Mogul,en,"Winston Churchill understood the power of films, but the true extent of his use of cinema as a propaganda tool is rarely explored. In 1934, one of Britain's most celebrated film producers, Alexander Korda, signed Churchill up as a screenwriter and historical advisor. It was the start of a unique collaboration. Churchill provided script notes for Korda's productions and penned an epic screenplay. When war broke out, their collaboration took on national importance. Korda was sent on a mission to Hollywood to help bring America into the war, with positive results. With access to previously undiscovered documents, this film documentary examines that mission and a friendship that underpinned a unique, creative partnership.",1.512,24-01-2019,59
churchill-when-britain-said-no,"Not Available
",Churchill: When Britain Said No,en,"Documentary which examines the reasons why Winston Churchill and the Conservative Party lost the General Election of 1945, after Churchill had just led the country to victory in the World War II.",0.6,02-06-2015,51
churchills-secret,"Not Available
",Churchill's Secret,en,British Prime Minister Winston Churchill suffers from a stroke in the summer of 1953 that's kept a secret from the rest of the world.,2.739,29-02-2016,101
chuy-the-wolf-man,"Not Available
","Chuy, The Wolf Man",en,A biography movie directed by Eva Aridjis with Jesus Aceves. Jesus 'Chuy' Aceves and a dozen living members of his extended family suffer from the very rare condition of congenital hypertrichosis.,0.6,20-10-2014,93
chvrches-live-at-lollapalooza,"Not Available
",Chvrches : Live at lollapalooza,en,Playlist :  We Sink  Lies  Lungs  Gun  Night Sky  Strong Hand  Science/Visions  Recover  Tether  Under the Tide  By the Throat  The Mother We Share,0.6,01-08-2014,55
chvrches-live-zdf-at-bauhaus,"Not Available
",Chvrches : Live ZDF at Bauhaus,en,01 - We Sink  02 - Gun  03 - Now Is Not The Time  04 - Interview 1  05 - Lies  06 - Night Sky  07 - Strong Hand  08 - Interview 2  09 - Recover  10 - Tether  11 - Interview 3  12 - Under The Tide  13 - The Mother We Share,0.6,09-10-2013,57
cia-secret-experiments,"Not Available
",CIA: Secret Experiments,en,"It's the height of the Cold War and the United States government is desperate to combat the spread of Communism. The CIA launches a highly classified, top secret research program into the covert use of biological and chemical agents. In simulated attacks on enemy populations, entire cities in America are contaminated with bacteria, exposing millions of Americans to germ warfare. But the real focus of the research is on mastering the art of mind control. Psychiatrists at top academic institutions work under secret contract with the agency. Psychiatric patients, prisoners, even unwitting members of the public are exposed to a startling array of experiments designed to facilitate interrogations, induce amnesia and program in new behavior. Every psychological technique is explored, including hypnosis, electroshock therapy and lethal cocktails of drugs. What was the extent of these brainwashing experiments? How did the CIA become involved in such far-reaching and disturbing research?",0.917,11-03-2008,50
ciao,"Not Available
",Ciao,en,A man learns that his late friend had a secret online lover who is on the way from Italy.,2.251,05-12-2008,87
cicada-2020-3,"Not Available
",Cicada!,en,Four friends band together to defend Los Angeles from a swarm of giant bloodthirsty cicadas.,0.6,29-10-2018,82
cicakman,"Not Available
",Cicakman,en,"Hairi (Saiful Apek) is a loser who lives in Metrofulus. While working in the lab, he accidentally drinks coffee that has been contaminated by a virus-infected gecko. He soon finds himself doing the most insane things, such as sticking to walls, making chirping cicak noises and adding bugs to his menu. He turns to his best friend and apartment mate, Danny (Yusry Abdul Halim), and begs him to find the reason behind his strange antics. Meanwhile, the people of Metrofulus are constantly being infected by new strains of viruses, and the only cure seems to come only from Professor Klon's (Aznil Nawawi) lab. Suspecting something amiss, Hairi and Danny launch their own investigation and discover that Professor Klon is not only the creator of such viruses, but also has a more sinister plan up his sleeve, backed by his business partners, the Ginger Boys Ramlie and AC Mizal, who first tend to take revenge on Professor Klon's failed experiment on them; making their senses turn abnormal.",0.696,07-12-2006,107
ciegos,"Not Available
",Ciegos,es,"The journey of 13-year-old Juan and his blind father Marco, who lost his sight in the Falklands War in 1982. They travel to Marco’s childhood town, which is full of stories never told. Juan becomes his father’s eyes, and Marco will rediscover his past through his son. Thus, begins a trip that changes the life and the relationship of father and son. A journey more internal than external, a journey of redemption. A joint experience that brings them together and unites them forever.",1.635,05-12-2019,82
cinema-concret,"Not Available
",cinéma concret,en,Shadow presences gradually emerge in Japanese filmmaker Makino Takashi’s abstract cinema composed of layers upon layers of natural imagery that awaken the senses.,0.6,22-09-2015,24
cincinnati-goddamn,"Not Available
",Cincinnati Goddamn,en,"This feature-length documentary is about police brutality, anti-black racism, and the power of grassroots activism in Cincinnati, Ohio.  From 1995-2001 there were fifteen black men killed by the Cincinnati police.  The film focuses on two of those murders, Roger Owensby, Jr and Timothy Thomas.  Martin Luther King said that “A riot is the cry of the unheard.”  Thomas's death sparked three days of civil unrest and protests.  This poignant and powerful story of injustice is told through news reports, first-person accounts and cinema verité footage of the surviving families' long-suffering battle for justice.",0.6,06-04-2015,100
cinco-de-mayo-la-batalla,"Not Available
",Cinco de Mayo: La Batalla,es,"On May 5th, 1862, a few thousand Mexican soldiers put their lives on the line against the world's largest and most powerful army in one legendary battle for freedom and for Mexico.",0.6,03-05-2013,125
cinderella-1911,"Not Available
",Cinderella,en,"Elaborately produced version of the well known George O. Nichols fairy tale interrupted by just a few summarizing intertitles, with Florence LaBadie and Harry Benham.",1.4,21-12-2011,15
cinderella-2015,"Not Available
",Cinderella,en,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",62.344,12-03-2015,105
cinderella-man,"Not Available
",Cinderella Man,en,"The true story of boxer Jim Braddock who, in the 1920s following his retirement, makes a surprise comeback in order to get him and his family out of a socially poor state.",12.643,02-06-2005,144
cinderellas-hot-night,"Not Available
",Cinderella's Hot Night,en,"Cinderella's Hot Night presents a lively retelling of the classic fairy tale...with a slightly more mature, erotic twist. Follow the adventures of the bewildered Cindy as she falls prey to her wicked sex-crazed benefactor all the while pining for her secret love, a noble European Prince. With the help of her smoking hot Fairy Godmother, Cindy finally realizes her dream of becoming a real-life Princess.",11.72,30-05-2017,80
cinema-chupista-maava,"Not Available
",Cinema Chupista Maava,te,"Kaththi (played by Raj Tharun) is a happy-go-lucky boy, who enjoys life with his friends. But, his father always scolds him as he fails Intermediate two times. One day, he falls in love with Parineeti (played by Avika Gor), who is the daughter of Somnath Chaterjee (played by Rao Ramesh).  With his tricks and techniques, Kaththi makes Parineeti to fall in love with him. The twist in the tale rises when Somnath Chaterjee comes to know about their relationship. In order to get marry with his daughter, Somanath keeps a challenge for Kaththi and he promises that he will give his daughter to him, if he passes the test.  What is the challenge given by Somanth Chaterjee? What did Kaththi do for his love? What is the twist in the story forms the rest of the story.",0.6,14-08-2015,143
cinema-futures,Documentary,Cinema Futures,en,"The “digital revolution” reached the cinema late and was chiefly styled as a technological advancement. Today, in an era where analog celluloid strips are disappearing, and given the diversity of digital moving picture formats, there is much more at stake: Are the world’s film archives on the brink of a dark age? Are we facing the massive loss of collective audiovisual memory? Is film dying, or just changing? CINEMA FUTURES travels to international locations and, together with renowned filmmakers, museum curators, historians and engineers, dramatizes the future of film and the cinema in the age of digital moving pictures.",2.395,02-09-2016,126
cinema-museum,"Not Available
",Cinema Museum,en,A first-person tour through the private collection of Ronald Grant and Martin Humphries in Britain with their curator Anna.,0.6,01-01-2008,36
cinema-of-decay-the-films-of-bill-morrison,"Not Available
",Cinema of Decay: The Films of Bill Morrison,en,"This documentary focuses on the artistry of director Bill Morrison, who leverages decaying film stock from years past to tell new stories that are relevant to today's audiences. The decaying film lends brilliant visuals which add to Morrison's concept of storytelling.",0.632,11-12-2017,24
cinema-olanda-film,Documentary,Cinema Olanda Film,en,"Shot in a single uncut sequence, Cinema Olanda Film connects an architectural location, a number of individuals, and past and present events through a momentary filmic reality.",0.6,19-02-2018,17
cinema-sex-politics-bertolucci-makes-the-dreamers,"Not Available
","Cinema Sex Politics: Bertolucci Makes ""The Dreamers""",en,"The making of The Dreamers, its background and relation to the May 1968 student riots in Paris.",1.271,01-03-2004,52
cinema-six,"Not Available
",Cinema Six,en,"Working at a movie theater is fun, and that's why Mason, Dennis, and Gabe have done it for years. But, those years of neglecting the world outside the theater are finally catching up to them. Now, they have to make a decision: start on the long, hard path to maturity or stay at the theater, where they can avoid customers, screw with customers, and eat as much popcorn as they desire.",0.677,19-11-2013,80
cinemas-exiles-from-hitler-to-hollywood,"Not Available
",Cinema's Exiles: From Hitler to Hollywood,en,"Eight hundred German filmmakers (cast and crew) fled the Nazis in the 1930s. The film uses voice-overs, archival footage, and film clips to examine Berlin's vital filmmaking in the 1920s; then it follows a producer, directors, composers, editors, writers, and actors to Hollywood: some succeeded and many found no work. Among those profiled are Erich Pommer, Joseph May, Ernst Lubitsch, Fritz Lang, Billy Wilder, and Peter Lorre. Once in Hollywood, these exiles helped each other, housed new arrivals, and raised money so others could escape. Some worked on anti-Nazi films, like Casablanca. The themes and lighting of German Expressionism gave rise in Hollywood to film noir.",2.092,01-01-2009,117
cinemagician-conversations-with-kenneth-anger,"Not Available
",Cinemagician: Conversations with Kenneth Anger,en,"Iconic American filmmaker Kenneth Anger has inspired generations of creative storytellers since the late 1940s. He is a unique visionary who drifts from pure poetry within his magical filmmaking to sardonic gossip in his bestselling ""Hollywood Babylon"" books. In-between these extremes we find a person who never tires of exploring his own creativity. In this intimate documentary, Anger lets us in on his fascinating life story, his approaches to filmmaking, and his relationship to British occultist Aleister Crowley.",0.6,12-04-2019,47
cinemanovels,"Not Available
",Cinemanovels,en,The estranged daughter (Lauren Lee Smith) of a recently deceased filmmaker gains a new understanding of her father when she offers to create a retrospective of his work.,3.372,06-09-2013,89
cinematic-titanic-frankensteins-castle-of-freaks,"Not Available
",Cinematic Titanic: Frankenstein's Castle of Freaks,en,"Things get a bit randy in this version of Mary Shelley's immortal classic about... immortality. Just as our resident mad scientist is about to bring his creature back to life, he is forced to use a sub-standard brain. The Cinematic Titanic crew offer more hilarious commentary as they set their sights on a Frankenstein's castle chock full of angry villagers, grave robbers, and skinny dippers.",2.29,24-11-2008,89
cinematic-titanic-the-oozing-skull,"Not Available
",Cinematic Titanic: The Oozing Skull,en,"In the far-off land of Kalid, President Amir lies on his deathbed. If this revered head-of-state dies, the brutal dictatorship that he has so lovingly cultivated will fall into a dark age of uncertainty and chaos. And so, in this moment of crisis, his loyal staff are left with no alternative but to choose the only logical and sensible course of action—to transfer Amir's brain into a younger, healthier, and most importantly, living body.  Enter Doctor Robert Trenton, a mad scientist of the traditional 'they all laughed at me and now I'll show them' school. He, along with his assistant, Dorro, a little man with a big appetite for evil, and Tracy, a conniving beauty with a heart that's harder than her leathery, over-tanned skin, concoct a deliriously diabolical plan involving murder, body-napping, skullduggery, and oozy, gooey brains.",0.6,21-12-2007,81
cinematographer-style,"Not Available
",Cinematographer Style,en,110 of the world's top cinematographers discuss the art of how and why films look the way they do.,3.007,25-06-2006,86
cinta-subuh-3-sang-ksatria-subuh,"Not Available
",Cinta Subuh 3: Sang Ksatria Subuh,en,The sequel of Cinta Subuh with Dodi's Story.,0.6,30-10-2015,33
circle-2014,"Not Available
",Circle,en,"In the hard-boiled world, where will the soft-shelled end up? A cozy kind of extermination is on the stage and keeping a low profile. The decadence around us is nothing less than clandestine annihilation of the civil man. Yet it is carried out so well with a grinning face, it is officially sold as transition.  Now that the tamed indulgent is striped off social justice, welfare, even denied the tender love of concentration camps and slavery plantations of past centuries. At least hand them a round of rope They have high expectations from taking things in their own hands.  Circle is a peculiar story of an ordinary man caught between an untimely romance and a brave new hostile world.",0.6,07-02-2014,108
