movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
0s-1s,Science,0s & 1s,en,"Los Angeles, 2006. Life is Easy 2.0 for James Pongo. He has a cushy job, a busy social life and an alluring love interest all through the click of a mouse. But when he wakes up after a night of reckless partying to discover that his computer is missing, James' hyper-connected reality takes a nosedive. This sends him on a picaresque journey of interrogations and humiliations with the suburban losers he left behind. Told entirely through the websites, programs, games and social networks that make up our daily lives, 0s &amp; 1s uses James Pongo's nihilistic adventure to question our growing dependency on these alternate digital realities.",2.179,01-01-2011,83
1-1-2-hours,"Not Available
",1 1/2 Hours,es,"Long take uncut about ANA's life, who is recently divorced and has a daughter, ANA has started a relationship but she want anybody knows about it. That morning Ana received a call saying her daughter is call and she must to pick her at school, but at school no one knows where his daughter is. There she received a unknown call from the kidnapper who has her daughter and they begin to blackmail her. If she wants her daughter back, she must to do anything and gradually she become isolated. Finally ANA is face to face with the kidnapper.",0.6,01-05-2017,82
1-buck,"Not Available
",1 Buck,en,"Shifting from one pocket to another, from one man's drama to another, a lowly dollar bill, 'one buck' takes us on an odyssey through the heart of a forgotten town in Louisiana.",3.532,22-09-2017,89
1-giant-leap-what-about-me,"Not Available
",1 Giant Leap: What About Me?,en,"One Giant Leap have created a unique music, TV and film project. What About Me? is the culmination of 4 years work visiting 50 global locations collecting wisdom and musical jewels. It's an inspiring and alarming look at our collective insanity: how we are ego-driven, needy in relationships, insatiable in desire, addicted to status, wounded by childhood and unable to stop thinking, but how we still manage to be inspired and creative. Unscripted, with no storyboard, these conversations all reveal how we are connected not only through our creativity and our beliefs but most of all through our madness! (excerpted Jamie Catto)",0.987,09-03-2009,118
1-litre-of-tears,"Not Available
",1 Litre of Tears,ja,"15-year-old Aya Kito was an ordinary girl, the daughter of a family who works at a tofu shop, and a soon-to-be high schooler. However, odd things have been happening to Aya lately. She has been falling down often and walks strange. Her mother, Shioka, takes Aya to see the doctor. How will Aya react when told about her disease? And how will Aya live from now on?",1.482,05-02-2005,98
1-mile-to-you,"Not Available
",1 Mile To You,en,"After a teenager's friends die in an accident, he finds running allows him to remember them perfectly. Running, however, also brings him notoriety. He is caught between keeping the past alive and making new memories in the present.",9.488,07-04-2017,104
1-night,"Not Available
",1 Night,en,"Thirty-something Elizabeth must decide whether to salvage her disappointing relationship with Drew. Meanwhile, Bea, a worrisome teenager, reconnects with her introverted childhood friend, Andy, at their high school prom. Past and present collide as two couples explore love over the course of one night at a hotel.",6.157,14-10-2016,80
1-night-in-san-diego,"Not Available
",1 Night In San Diego,en,"Two life long friends, Hannah, a former reality starlet, and her conscious cuddling best friend, Brooklyn, road trip to San Diego to meet a high school crush and attend Comic Con. When things don't go as planned, their trip turns into a night of chaos, debauchery, and ultimately tests the deepest bonds of their friendship.",3.31,17-11-2020,85
199-um-supermercado-que-vende-palavras,"Not Available
","1,99 - Um Supermercado Que Vende Palavras",en,Different costumers shop in a supermarket that sells words and ideas.,1.222,18-11-2003,79
1-nenokkadine,"Not Available
",1: Nenokkadine,te,"A schizophrenic rock musician, is convinced that his parents were murdered by three men. Taking the support of a journalist, he sets out to find the culprits. Will he succeed in his mission, and in the process, what will he learn about his own roots?",7.998,10-01-2014,150
