movie_id,genres,movie_title,original_language,overview,popularity,release_date,runtime
the-bill-collector,"Not Available
",The Bill Collector,en,"Uncle Frankie (Danny Trejo) is not the kind of guy you want to meet in a dark alley. Especially when you owe him money and have been giving him the slip for a few years. Such is the fate of Lorenzo Adams (Gary Moore), a top bill collector at Lump Sum Collections. Uncle Frankie has tracked Lorenzo to Norfolk, Virginia and is coming to collect.",1.912,03-09-2010,107
the-bill-murray-experience,"Not Available
",The Bill Murray Experience,en,"At a crossroads in her life, actress Sadie Katz embarks on a year-long quest to have a magical experience with legendary comedian Bill Murray.",0.6,19-12-2017,81
the-binding,"Not Available
",The Binding,en,A young woman's faith is put to the ultimate test when she is forced to uncover the truth behind her husband's horrific visions.,2.534,02-08-2016,88
the-binge,"Not Available
",The Binge,en,"In the not-so-distant future, all drinking and drugs have been made completely illegal by the government, except for one night a year. High school seniors Griffin, Hags, and Andrew make a pilgrimage to get to the best party in town where all their dreams will come true. They will have to avoid their crazed principal, violent siblings, and the wild animals roaming the streets.",5.275,28-08-2020,98
the-birdcatcher,"Not Available
",The Birdcatcher,en,"Norway, 1942, during World War II. After being separated from her family, Esther, a young Jewish girl from Trondheim, arrives at an isolated farm where she must assume a new identity in order to survive the Nazi persecution.",8.777,04-02-2021,97
the-birth-of-a-nation,"Not Available
",The Birth of a Nation,en,"Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch.",8.69,08-02-2015,193
the-birth-of-a-nation-2016,"Not Available
",The Birth of a Nation,en,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virginia that results in a violent retaliation from whites.",14.787,09-09-2016,120
the-birth-of-sake,"Not Available
",The Birth of Saké,ja,"Through the unrelenting winter in the north of Japan, a small group of workers must brave unusual working conditions to bring to life a 2,000-year-old tradition known as sake. A cinematic documentary, The Birth of Sake is a visually immersive experience of an almost-secret world in which large sacrifices must be made for the survival of a time-honored brew.",2.559,16-04-2015,90
the-birthday-party-pleasure-heads-must-burn,"Not Available
",The Birthday Party: Pleasure Heads Must Burn,en,"Featuring footage from two live performances at the Hacienda club in Manchester, England, as well as the original promotional videos for ""Nick the Stripper"" and ""Deep In the Woods,"" Pleasure Heads Must Burn offers a solid collection of footage from The Birthday Party's musical history. Some of the songs featured include ""Sonny's Burning,"" ""The Six Strings that Drew Blood,"" and ""Pleasure Avalanche,"" among many others. Bonus material includes footage from several television appearances which originally aired on British and Dutch stations.",0.6,14-08-2003,60
the-bit-player,"Not Available
",The Bit Player,en,"A socio-realist drama-comedy ﬁlm, it follows a seemingly usual day in the life of LOIDA MALABANAN (Vilma Santos) as she embarks on yet another shooting day of a soap opera as an extra. As the shoot goes on, we get a glimpse of the truth in the ruling system of the production as well as the exploitation of the marginalized laborers like her.",1.275,26-07-2013,111
the-bitter-buddha,Documentary,The Bitter Buddha,en,"The Documentary takes an unconventional journey through the life of one of America's most original comedic voices. Eddie Pepitone, ""The Bitter Buddha"", is looked at in this portrait of creativity, enlightenment and rage.",2.384,15-06-2012,92
the-black-balloon,"Not Available
",The Black Balloon,en,"Thomas is turning 16. His dad's in the army and they've just moved to a town in New South Wales; his mom is pregnant; his older brother, Charlie, who's autistic, has his own adolescent sexual issues. Thomas finds Charlie an embarrassment in public, so when Thomas is attracted to Jackie, a girl in his swim class, Charlie presents any number of obstacles when she drops by their house, when the three of them go for a walk, and during a family birthday dinner. Can Thomas find a way to enter the world of teen romance and still be his brother's keeper, or is Charlie's disability going to prove more than Thomas can handle?",5.573,08-03-2008,97
the-black-balloon-2012,"Not Available
",The Black Balloon,en,"While trying to move 40 kids six New York City blocks all by himself, a stressed man accidentally loses a bouquet of a hundred balloons. In that bouquet, a lone black balloon scurries free from the rest. It dies and comes back to life, returning to the city, cruising for a companion. On its beat, it learns that humans are complicated creatures with extreme highs and lows, but full of life nonetheless. A film intended to be for children that turned into a sci-fi urban fable, this is the story of The Black Balloon.",0.994,20-01-2012,21
the-black-candle-2008,Documentary,The Black Candle,en,The origins of Kwanzaa and the seven principles upon which the pan-African holiday derives its meaning are explored in this fascinating documentary. Narrated by Maya Angelou.,2.241,04-01-2009,71
the-black-cat-2007,"Not Available
",The Black Cat,en,"The Black Cat, set in 1840 Philadelphia, has the great writer Edgar Allan Poe, struggling with alcoholism, writers block, as well as being out of ideas, short on cash, and tormented by his wife Virginia's black cat that will either destroy his life or inspire him to write one of his most famous stories.",2.504,19-01-2007,58
the-black-crowes-warpaint-live,"Not Available
",The Black Crowes - Warpaint Live,en,"The Black Crowes are one of the all-time great live rock bands. Their shows are legendary and regularly sell out in record time wherever in the world they play. This new live DVD was filmed on March 20, 2008 at the Wiltern in Los Angeles during the tour in support of their critically acclaimed new studio album ""Warpaint"". The concert features live versions of the whole of the ""Warpaint"" album plus a mixture of previously unreleased cover versions and some of their own classics. 1) Goodbye Daughters Of The Revolution 2) Walk Believer Walk 3) Oh Josephine 4) Evergreen 5) We Who See The Deep 6) Locust Street 7) Movin' On Down The Line 8) Wounded Bird 9) God's Got It 10) There's Gold In Them Hills 11) Whoa Mule 12) Poor Elijah - Tribute To Johnson 13) Darling Of The Underground Press 14) Bad Luck Blue Eyes Goodbye 15) Don't Know Why 16) Torn And Frayed 17) Hey Grandma",0.625,20-03-2008,103
the-black-dahlia-haunting,"Not Available
",The Black Dahlia Haunting,en,"While investigating the murder of her father by her blind younger brother, a young woman disturbs the vengeful spirit of Elizabeth Short, known in legend as ""The Black Dahlia"".",2.409,15-09-2012,80
the-black-emperor-of-broadway,"Not Available
",The Black Emperor of Broadway,en,"This feature film tells the true story of Charles S. Gilpin; the first black star on Broadway and his leading role in Eugene O'Neill's controversial play, The Emperor Jones.",3.856,15-04-2020,95
the-black-forest,Fantasy Adventure,The Black Forest,es,"Sir Hector, a brave knight, is preparing to enter the sinister Black Forest to free a beautiful lady. Will he prevail where others have succumbed to horror and death?",0.657,17-10-2015,16
the-black-ghiandola,"Not Available
",The Black Ghiandola,en,"The Black Ghiandola is a story about a young man risking his life to save a young girl he has grown to love, after his family has been killed in the Apocalyptic world of Zombies.",1.722,22-04-2017,17
the-black-hole-2006,"Not Available
",The Black Hole,en,"It's 2 A.M. in St. Louis when a routine scientific experiment goes terribly wrong and an explosion shakes the city. A scientific team investigates, clashing with an intergalactic, voltage-devouring creature that vaporizes them.",4.131,10-06-2006,90
the-black-kung-fu-experience,"Not Available
",The Black Kung Fu Experience,en,This film focuses on how a group of African American pioneers became respected masters in a subculture dominated by Chinese and white men.,0.6,22-09-2012,57
the-black-pimpernel,"Not Available
",The Black Pimpernel,en,The story about Swedish ambassador in Chile - Harald Edelstam - and his heroic actions to protect the innocent people from the execution during and after the military coup on September 11th 1973.,2.404,14-09-2007,95
the-black-power-mixtape-1967-1975,"Not Available
",The Black Power Mixtape 1967-1975,en,"Examines the evolution of the Black Power Movement in US society from 1967 to 1975. It features footage of the movement shot by Swedish journalists in the United States during that period and includes the appearances of Angela Davis, Bobby Seale, Huey P. Newton, Eldridge Cleaver, and other activists, artists, and leaders central to the movement.",3.458,09-09-2011,100
revelation-road-3-the-black-rider,Action Drama Fantasy,The Black Rider: Revelation Road,en,"Josh McManus finds himself in a dangerous border-town at the edge of the wild-lands. The beleaguered Mayor sends Josh on a vital mission to find the mysterious and elusive ""Shepherd"". Is the Shepherd a prophet or a pariah? A true man of God or a cult leader? With the aid of a beautiful survivor, Josh will discover the truth in an action-packed adventure that puts his skills and his faith to the test.",1.702,07-10-2014,112
film:359368,"Not Available
",The Black Room,en,Paul and Jennifer Hemdale have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the cellar. Something else is already living in their new home and it is growing stronger every day.,10.892,28-04-2017,91
the-black-sea,"Not Available
",The Black Sea,en,Five friends go to a beach house on the Oregon coast for the weekend. Allison is clearly troubled by something but the others don't say a word or intervene. And then she vanishes.,1.832,01-01-2015,72
the-black-stork,"Not Available
",The Black Stork,en,"A young man and woman are considering marriage; eugenicist Harry J Haiselden warns that they are ill-matched and will produce defective offspring. He is right; their baby is born defective, dies quickly and floats into heaven.",0.6,28-02-2017,90
the-black-string,"Not Available
",The Black String,en,"When a suburban slacker has a reckless encounter with a mysterious woman, his life begins to unravel in horrific fashion. His friends and family believe he's losing his mind, but he's convinced something far more sinister is taking place.",7.326,25-10-2018,90
the-black-swindler-movie,"Not Available
",The Black Swindler: Movie,ja,,1.398,08-03-2008,127
the-blackcoats-daughter,"Not Available
",The Blackcoat's Daughter,en,"In the dead of winter, Kat and Rose, two very different girls, find themselves spending winter break at their prestigious prep school. What they don't know is that Kat is being stalked by an evil entity, and their lives are about to change forever. Meanwhile, Joan, a young, troubled woman, makes her way across a frozen landscape towards the school. But why?",9.693,31-03-2017,93
the-blackout-2009,"Not Available
",The Blackout,en,"It's Christmas Eve, the city goes dark, and the few remaining tenants of The Ravenwood find themselves trapped in their building. And they are not alone.",3.963,01-01-2009,80
the-blackout-2013,"Not Available
",The Blackout,en,"A rag tag band of idiots on the verge of signing a recording contract is sandbagged by their lead singer, Chas Knopfler, into throwing the mother of all parties the night before they embark on a world tour. Eddie Mesmer, the rhythm guitarist, awakens to find his drummer, Toss Dunbar, hanging from a tree like a scarecrow, and the house completely destroyed. Eddie and Toss quickly realize that A: they can't remember anything and B: there's a dead guy in the pool. Now, they have to figure out what happened the night before or their Rock and Roll dream is over.",1.832,01-09-2013,90
the-blackwell-ghost,"Not Available
",The Blackwell Ghost,en,A filmmaker tries to prove that ghosts are real but soon regrets his intentions after he finds himself being terrorized in a haunted house by a ghost with a dark past. An authentic documentary that shows actual ghost footage that was captured on camera.,4.908,11-08-2017,59
the-blackwell-ghost-5,"Not Available
",The Blackwell Ghost 5,en,"In this 5th installment of ""The Blackwell Ghost"" series, the ghost hunting filmmaker returns to the ""Lightfoot House"" where he hopes to solve a newly discovered puzzle which may lead to the location of more undiscovered victims.",3.553,02-10-2020,72
the-blasphemer,"Not Available
",The Blasphemer,en,"This rarely seen, silent religious feature was produced by the Catholic Art Association. After making it big on Wall Street, John Harden boasts that he is the master of his own fate and believes in neither God nor the Devil. Needless to say, he pays mightily for this hubris. His family is reduced to poverty, his friends desert him, and things turn from bad to worse until his childhood faith is restored.",0.6,14-10-2021,89
the-blazing-trail,"Not Available
",The Blazing Trail,en,"Young doctor Bradley Yates has been trying to come up with a serum to counteract blood poisoning, with no results. Exhausted, he takes a rest in the Blue Ridge Mountains and stays in a small mountain community. When a young schoolteacher comes to town a romance develops between her and Bradley, but the local gossips have spread rumors that he has seduced Talithy, a local girl, and will abandon her for the teacher. Complications ensue.",0.6,01-05-2021,52
the-bleeding,"Not Available
",The Bleeding,en,"Surrounded by carnage, slaughter, brutal crashes and total mayhem, Shawn Black is in a race to save the world from pure evil.",4.064,02-11-2009,80
the-blessed-2012,"Not Available
",The Blessed,es,"María (13) is an intersex girl (hermaphrodite) who is forced by her father to impersonate the Holly Virgin Mary at the procession of their town, because he thinks this is the only way she can ""get fixed"".",0.6,11-02-2012,14
the-blessing-2018,Documentary,The Blessing,en,"Intimate portrait of a Navajo family in Piñon, Arizona, where the primary industry of coal mining is destroying the mountains held sacred to the community.",2.613,07-04-2018,76
the-blind-labourer,"Not Available
",The Blind Labourer,en,"The Blind Labourer examines the similarities and contrasts within the whaling and lumber industry. It edits together archive footage of labourers in the forests, at sea and in factories, felling trees, cutting whales and developing their multiple products for society and scientific studies.",0.6,04-06-2016,26
