movie_id,vote_average,vote_count
the-frankenstein-syndrome,4.9,29
midnight-chronicles,5.5,10
the-four-faced-liar,5.6,46
house-of-z,7.4,12
extremely-wicked-shockingly-evil-and-vile,7,2673
hubbys-night-out,0,0
complicity-2018,5.5,2
hot-air,0,0
once-a-princess,0,0
mick-foley-20-years-of-hell,0,0
fangoria-blood-drive,8,1
the-computers,10,2
the-echo-2004,5.6,12
newcomer,5.3,18
super-deluxe,7.9,59
meat-loaf-in-search-of-paradise,7,1
drain-the-bermuda-triangle,6.7,8
sunday-2014,5,1
the-informer-out-of-the-fog,0,0
steal-me,5,3
hellbilly,0,0
the-zone-2011,5.7,11
the-mothering-heart,5.7,23
gusts-of-wild-life,4,1
attitude-test,5.1,23
the-space-invaders-in-search-of-lost-time,6,2
buck-wild,4.1,18
dave-chappelle-the-kennedy-center-mark-twain-prize,7.3,27
two-gangsters-and-an-island,6,1
hell-town,5,5
carmilla-2019,6,14
the-australian-dream,7,9
eddie-griffin-dysfunktional-family,7.1,6
whistleblower,0,0
communicating-vessels,0,0
monkey-farm,6,2
cradle-swapping,5.3,11
graveyard-alive-a-zombie-nurse-in-love,5.6,7
baltic-storm,4.1,9
cyclops,4.8,32
bizarre,5.9,31
mobile-suit-gundam-narrative,7.3,7
no-good-heroes,5.5,4
hairspray-2007,6.7,2092
vs-2018,5.8,12
stevie-wonder-live-at-rock-in-rio-2011,3.8,2
el-crazy-che,6.6,10
dusty-ii-rustys-revenge,2,1
the-grand-bizarre-2018,6.5,10
das-geheimnis-von-st-ambrose,0,0
daddys-boy-2020,0,0
the-inheritance-2014,1,1
fightville,6.1,11
the-good-mother-2013,5.3,11
blood-type-2019,0,0
swimming-upstream,6.9,32
the-club-of-the-misunderstood,6.8,362
in-night-and-ice,4,3
third-man-out,5.8,27
going-to-the-mat,6.9,31
tokyo-godfathers,7.9,664
nijam,7.2,5
caroline-and-jackie,6.7,6
the-phenomenon,6,19
paradise-lost-3-purgatory,7.6,104
fuck,6.4,65
the-legacy-of-some-like-it-hot,7,1
catching-sight-of-thelma-louise,8,1
trente-tableaux,0,0
moonlight-mistletoe,5.9,21
catskill-park,3.7,3
mambo-man,0,0
he-dreams-of-giants,6.6,5
