movie_id,vote_average,vote_count
butterfly-on-a-wheel,6.4,382
a-common-crime,4,1
nostalgia-for-the-light,7.5,106
sylvio,6.1,9
nkotbsb-live-at-the-o2-arena,6,1
the-voice-of-water,6,3
eternity-never-surrendered,0,0
cutie-and-the-boxer,7.1,59
maracaibo-2017,8.8,4
blackbird,6.6,37
stoneland,0,0
vettai,6.7,15
hitman,6.1,2531
for-jennifer,6,1
this-magic-moment,6.3,15
bungo-stray-dogs-dead-apple,8.2,82
back-to-christmas-2014,5.1,32
old-thieves-the-legend-of-artegio,7.4,6
the-warning-2018,6,299
the-backward-class,0,0
waste-land-2014,5.4,6
the-world-according-to-sesame-street,8,4
coldplay-unstaged-live-from-madrid,0,0
tunnelrat,5,2
the-emperors-new-clothes-2015,6.3,24
der-letzte-mann-das-making-of,8,2
every-song-is-about-me,6.2,14
the-classic,7.5,112
this-is-not-a-time-for-dreaming,0,0
money-power-respect-hip-hop-billion-dollar-industry,0,0
9-11-intercepted,8,1
two-letters-for-ana,4.7,3
three-dollars,7.2,3
the-unraveling,5.1,7
el-cuento-de-antonia,0,0
the-videoblogs,6,1
the-advocate-a-missing-body,7.3,28
the-field-guide-to-evil,5.9,77
tuolumne,0,0
ghoul-2015,4.6,46
woman-of-the-ruins,10,1
vicious-2016,0,0
high-and-dizzy,6.8,24
thicker-than-water-2015-1,5,2
untraceable,6.2,641
hadley-tk-421,0,0
hallo-panda-2006,0,0
hot-winter-a-film-by-dick-pierre,7,1
the-hedge-theater,6.9,9
three-and-out,6,24
the-last-descent,7.3,74
citadel,5.3,111
parasomnia,4.8,49
the-great-cinema-party,5.5,2
this-is-paris,6.3,32
mars-of-destruction,2.2,14
stealing-sinatra,5.2,11
mike-epps-presents-live-from-the-club-nokia,4.2,3
the-reckoning,6.4,77
loverboy-2003,7.2,5
frankenstein-2007,3.8,6
the-lodge-2019,6.1,760
while-i-breathe-i-hope,0,0
never-leave-alive,4.9,11
birdland-2019,7,1
the-great-battle-2018,7.3,83
blackfeet-boxing-not-invisible,1,1
concussion,5.4,79
femme-2018,0,0
badland-2019,6.5,72
zombie-killers-elephants-graveyard,3.8,13
fast-romance,4,2
the-citizen,6.7,23
excavating-the-2000-year-old-man,0,0
concrete-clouds,5.7,3
stuck-2007,6.1,119
dust-2017,0,0
hottieboombalottie,3.8,4
touching-the-void-return-to-siula-grande,9,2
woman-on-fire,0,0
the-rapture-of-fe,7,2
gmor-evian,6,1
i-me-wed,5.3,7
the-do-over,5.7,1193
washed,0,0
visions-of-frank,6,1
trailer-town,6,2
lucys-tale,6.4,11
mcbride-the-chameleon-murder,7,1
ed-sheeran-jumpers-for-goalposts,7.4,19
end-of-the-road-how-money-became-worthless,9,5
west-of-memphis,7.4,102
the-illustrated-mum,7.5,2
there-is-a-new-world-somewhere,3.3,2
no-escape-2008,5,4
titanic-how-it-really-sank,6.8,2
chunky-monkey,2,1
dark-circles,4.8,69
9-ball,2,1
haunting-of-cellblock-11,4.2,24
anohana-the-flower-we-saw-that-day,7.1,12
the-last-patrol-2014,5,4
the-legend-of-sarila,4.8,16
black-christmas-2019,4.7,362
the-reality-of-truth,5.5,2
night-2019,7,2
surviving-home,0,0
out-in-the-open-2019,6.6,62
my-left-hand-man,6.4,16
if-cats-disappeared-from-the-world,7,41
tokyo-family,7.4,40
a-common-man,6.1,57
golan-a-farewell-to-mr-cinema,10,1
einsteins-big-idea,6.9,9
tom-jones-live-at-cardiff-castle,4,2
heal-2017,6.9,39
the-twenty-one-lives-of-billy-the-kid,6,4
falling-camellia,7.5,3
hell-hath-no-fury,2,1
thats-not-me,6.5,13
ghost-game,3.8,5
beah-a-black-woman-speaks,0,0
north-by-northwest-one-for-the-ages,6.5,2
brief-story-from-the-green-planet,5.3,4
suburban-madness,0,0
stockholm-my-love,6.2,14
how-to-be-deadly,0,0
at-the-door-2018,6.7,3
loyal-citizens-of-pyongyang-in-seoul,0,0
erebus-operation-overdue,7,1
the-scent,6.6,14
blood-and-bone-china,0,0
dolapo-is-fine,10,2
guilt,6.8,2
buding-ang-babayi-nga-naglutaw,6,1
the-network,5,3
the-right-kind-of-wrong,5.9,167
the-rise-of-isis,7,1
trying-it-at-home,0,0
a-cinderella-story-once-upon-a-song,6.4,898
warming-by-the-devils-fire,6.9,4
stumped-2018,0,0
the-perfect-46,6,8
the-nut-job-2-nutty-by-nature,5.9,307
ayudame-a-pasar-la-noche,5.4,5
table-for-three,4.8,55
what-shall-we-do-with-our-old,5.7,7
the-last-days-of-peter-bergmann,8,1
following-the-way,0,0
tortoise-in-love,6.1,4
the-book-of-ruth-journey-of-faith,7,1
the-siamese-bond,0,0
mansion-of-blood,4,2
the-art-of-mccartney,0,0
armed-response-2017,5.3,120
barbaric-land,5,5
vennila-kabadi-kuzhu,7.7,8
christmas-in-evergreen-letters-to-santa,7.1,33
bliss-2016,9,1
the-murder-in-angel-lane,6.7,13
butcher-the-bakers,4.7,5
the-inbetweeners-2,6.2,382
fairy-dust,7.8,7
stories-of-lost-souls,6.5,7
harry-meghan-a-royal-romance,6.9,164
the-vanishing-of-sidney-hall,6.7,184
boy-2010,7.4,262
tenacious-d-in-the-pick-of-destiny,6.7,1197
undercover-kids,3.3,3
an-extraordinary-gentleman,0,0
entrenamiento-elemental-para-actores,5,3
a-father-a-son-once-upon-a-time-in-hollywood,6.3,3
tapeworm,7,1
magical-girl,7.5,141
the-luring,4,3
narnias-lost-poet-the-secret-lives-and-loves-of-cs-lewis,5,1
the-cleaning-lady-2018,5.6,73
young-hunter,6.7,19
christmas-with-the-darlings,7.4,11
another-gay-movie,6,130
colombia-in-my-arms,6.7,3
freaks-in-love,0,0
such-good-people,6.1,11
burn-country,5.3,23
marimbas-from-hell,5.9,9
monster-squad-forever,6.7,3
lupin-the-third-jigens-gravestone,7.4,70
the-water-diviner,6.8,987
falls-around-her,7,2
harrys-bar,4,1
ice-castles-2010,6.6,60
his-regeneration,4.1,14
stepmom-and-daughter-blues-2020-new-years-special,0,0
mega-man,5.1,7
fly-with-the-crane,5.8,5
bitcoinboy,0,0
most-likely-to-murder-2019,5.6,15
comedy-central-roast-of-rob-lowe,6.8,25
njpw-back-to-the-yokohama-arena,0,0
twinkle-toes-lights-up-new-york,2,1
papi-chulo,5.9,20
anita,6.9,25
cutie-honey,6.5,45
black-stone-cherry-thank-you-livin-live,8,1
a-beginners-guide-to-snuff,4.7,15
breaking-wind,3.4,159
the-bitter-buddha,7.6,7
the-ambassador,6.8,42
electric-man,7,1
cinema-futures,6.3,4
wish-i-was-here,6.6,591
the-dark-side-of-disney,9.5,4
edge-the-second-mountain,5.5,2
i-am-jesus,5,4
the-dark-tapes,5.4,86
the-dream-of-lu,4.7,11
my-kid-and-me,0,0
ooo-den-o-all-riders-lets-go-kamen-riders,5.1,4
the-skeleton-key,6.6,1570
bare-2020,10,1
the-bad-man-2018,5,5
tanana,0,0
father-there-is-only-one,7.1,238
100-year-anniversary-concert-birgit-nilsson,0,0
blow-me,0,0
tehilim,6,6
surf-grifters,5,1
hell-ephone,0,0
a-dream,5.3,4
the-red-pill,7.5,140
tokyo-onlypic,6.5,2
november-1st,7,2
the-great-white-trail,0,0
chasing-valentine,6.4,4
the-young-cannibals,7.2,21
thor-ragnarok,7.6,16704
drawing-restraint-9,6.7,19
casting-couch,3.7,15
meet-the-trumps-from-immigrant-to-president,6.3,8
tanner-hall,5.9,90
occupants,6.2,15
contestant-4,0,0
anori,0,0
the-dude,6,1
coral-reef-adventure,6.6,8
m-2018,6.5,4
100-american,4,1
the-new-romantic,6.4,92
augustus-the-first-emperor,5.8,10
we-still-live-here-as-nutayunean,10,1
chris-isaak-greatest-hits-live-concert,0,0
the-purging-hour,3.4,9
chronicle-of-my-mother,6.4,11
mumblecore,5.3,3
come-on-irene,5.7,3
the-life-times-of-paul-the-psychic-octopus,0,0
maria-and-everybody-else,5.7,17
the-death-of-salvador-dali,6.6,4
boogeyman-2012,5.8,23
grape-soda,6.8,4
the-a-word,10,1
celluloid-man,6.8,6
the-christmas-chronicles-part-two,6.6,656
the-warriors-the-way-home,6,1
the-ranchmans-vengeance,5,3
eva-2011,6.4,312
my-little-pony-the-princess-promenade,5.6,11
bruce-springsteen-the-ties-that-bind,7,4
my-little-pony-equestria-girls-rollercoaster-of-friendship,8.1,55
the-cut,6.4,10
nothing-personal,6.7,51
unslut-a-documentary-film,10,1
xploring-xtro,0,0
mystery-woman-snapshot,6.5,9
curious-george-a-very-monkey-christmas-2009,6.8,60
twohundredfiftysixcolors,0,0
widows,5.2,15
female-2013,0,0
the-swamp-2020,6.7,35
cool-apocalypse,10,1
further-beyond,5.7,3
endless-dreams-and-water-between,0,0
ubume,5.8,3
marvel-zombies-vs-army-of-darkness-2013,0,0
daniel-2015,7,1
this-will-destroy-you,0,0
the-ravaged-house-zorokus-disease,0,0
tracing-amy-the-chasing-amy-doc,8,3
farvelagte-frustrationer,7,2
cairo-time,6.2,49
the-dish-2007,0,0
gunter-lamoot-7-years-of-pure-genius,0,0
the-perfect-storm-story-of-the-1994-montreal-expos,0,0
sunset-stories,10,1
the-hunt-for-the-i-5-killer,6.1,18
austral-fever,6.3,3
breathe-in,6,254
the-kill-team,7,21
bad-building,3.1,8
truinside-election,0,0
holding-trevor,5.1,29
the-many-sad-fates-of-mr-toledano,6.5,6
the-great-mint-swindle,0,0
my-penis-and-i,6.5,2
national-theatre-live-julie,7.5,2
the-swordsman-2020,7.8,127
children-of-the-grave-2,0,0
this-is-what-love-in-action-looks-like,5.8,4
terence-mckenna-the-last-word,0,0
mixed-doubles-2017,6.7,21
bnsf,5.1,8
the-circle-2017-1,6.2,6
grey-gardens-2009,7.1,113
bridal-boot-camp,6.6,14
are-we-dead-yet,6.6,5
my-scary-girl,6.2,14
darkness-visible,6,6
angst-flesh,0,0
todays-special,6.3,75
enemies-of-happiness,6,5
bunny-chow,0,0
21-jump-street,6.9,8525
fatal-assistance,6.3,4
white-lion,6.3,14
the-lobster-circle,8,1
homecoming-a-film-by-beyonce,8.2,278
never-saw-it-coming,0,0
the-cult-next-door,0,0
mystify-michael-hutchence,7.1,27
heart-blackened,7.4,29
the-young-messiah,6.3,93
moonlight-of-the-shadow,0,0
when-la-rumorosa-quiets,0,0
a-demon-within,5.4,24
hi-neighbor-2011,0,0
chef-vs-science-the-ultimate-kitchen-challenge,0,0
you-belong-to-me-2007,5.8,5
the-light-in-the-piazza-live-from-lincoln-center,10,3
boo-a-madea-halloween,5.7,360
flying-monsters-3d,6.8,17
the-peanut-butter-falcon,7.4,883
7-days-in-hell,6.6,273
tales-of-found-footage,3,1
palo-santo,6,2
august-22-this-year,5,1
the-madness-of-the-dance,6,1
darling-2015,6.3,9
tartarus-2005,3.5,2
christian-finnegan-the-fun-part,7,5
the-companion-2015,5.2,6
the-curious-case-of-benjamin-button,7.6,10155
murder-in-the-hamptons,5,6
youre-nobody-til-somebody-kills-you,4.6,5
glastonbury,5.9,10
andy-parsons-britains-got-idiots,6,1
the-tiniest-place,8.2,6
grow-up-tony-phillips,6,1
hey-boo-harper-lee-to-kill-a-mockingbird,7.3,6
the-fall-of-babylon,6,2
ghost-light-2018,6.7,9
breathing-room,4.3,59
dare-to-stop-us,7,7
an-easter-bunny-puppy,3.7,3
funuke-show-some-love-you-losers,6.8,13
blur-new-world-towers,7,5
mr-fix-it,4.9,24
the-triumph-of-right,0,0
filmage-the-story-of-descendents-all,7.6,13
i-pay-for-your-story,6,4
the-mess,0,0
the-chrysanthemum-and-the-guillotine,5.8,7
beaches-2017,6.4,17
battle-in-seattle,6.3,175
steve-hofstetter-ginger-kid,6,1
meet-the-blacks,4.8,224
bosnian-dream,5.5,2
only-the-brave-2017,7.3,1123
the-first-time-2012,7,1870
obsessed-2014,7,36
edging,0,0
coriolanus,5.9,323
the-evening-hour,6,1
