movie_id,vote_average,vote_count
the-bosses,7.8,58
how-to-make-a-rainbow,0,0
heart-night-at-sky-church,8.5,2
capturing-avatar,8,33
summer-of-goliath,5,4
wake-the-witch,3.3,4
my-dictator,6.4,7
cowboys-aliens,5.5,4128
the-lost-choices-2015,8,2
the-kids-are-all-right,6.6,1157
can,6.1,7
nothing-left-unsaid-gloria-vanderbilt-anderson-cooper,8,13
nito,0,0
the-bet-2016,6,5
the-duchess-of-malfi,7.6,5
black-panther-2018,7.4,18134
dark-metropolis,1.5,2
harvest-time,5.5,4
waking-sleeping-beauty,7.4,76
the-hunters-2013,5.7,295
waiting-for-hockney,5,2
evangeline-2013,4,12
murder-joint-enterprise,8,1
athena-goddess-of-war,6.1,10
video-games-the-movie,5.8,153
survival-code,5.2,23
mr-kaplan,5.7,13
lucky-stiff-2014,5,6
when-i-shut-my-eyes,0,0
the-tree-that-saved-christmas,6.4,21
the-amazing-praybeyt-benjamin,3.5,2
the-express,7.2,192
my-awkward-sexual-adventure,7,274
estar-o-no-estar,6.4,13
cyprus-avenue,9,1
fight-valley,3.8,18
a-fistful-of-lead,5.5,4
a-christmas-prince-the-royal-wedding,6.5,756
too-beautiful-to-lie,6.6,34
dry-bones,7,1
the-art-of-akira-kurosawa,0,0
paraguayan-hammock,6.3,10
new-tokyo-decadence-the-slave,6.8,6
mr-happy-2012,2,1
mister-rogers-me,6.5,2
emerica-made-chapter-2,10,1
carnage-park,5.3,90
get-out-fast,0,0
mostly-ghostly-have-you-met-my-ghoulfriend,5.8,61
magallanes,7.8,12
wide-blue-yonder-2010,0,0
first-man-on-mars,3.5,2
david-lynch-the-art-life,7,137
the-farmers-daughters-1913,0,0
droppingtons-family-tree,5,1
white-chocolate,0,0
clash-of-the-titans-2010,5.9,5052
the-big-bounce,4.9,184
the-christmas-cabin,5.9,11
triloquist,5.5,22
hillside-cannibals,3.3,10
north-korea-life-inside-the-secret-state,3,3
gored,5,2
mexican-fighter,4.5,2
frontrunners,6.4,5
passage-2013,0,0
blue-caprice,5.9,85
credit-for-murder,0,0
mosquita-y-mari,6.4,20
heaven-on-earth-the-rise-and-fall-of-socialism,0,0
hero-2019-1,6.5,11
unknown-song,0,0
bad-bizness,4.3,4
malaventura-2015,6.1,8
gift-of-the-hoopoe,4,2
the-legend-of-ben-hall,6,40
cat-stevens-majikat,4.7,5
tokyo-project,6.9,19
the-tower-2012,7,192
beast-of-the-bering-sea,4.5,13
the-final-inch,6.3,4
get-rid-of-yourself,0,0
max-havoc-ring-of-fire,4,3
the-humbling,5.2,93
echo-torch,5.8,5
cap-2-intentos,0,0
whiskey-business,2,1
dad-for-a-day-2009,4,3
mokdugi-video,0,0
greatest-hits,5.7,6
free-color,0,0
chase-the-slut,0,0
melo-2014,6,1
we-the-animals,6.5,105
voodoo-moon,4.4,6
two-claudias,0,0
mollys-game,7.1,2930
marica-you,7.3,3
exo-planet-4-the-eyxion-in-seoul,0,0
ella-maillart-double-journey,7.7,3
neighbors-2019,4.5,1
year-of-the-scab,7,1
copiii-the-1st-entry,3.6,8
close-to-home,5.7,14
friend-zone-2009,5.5,41
goosebumps-the-movie,8,1
nicole,3,2
the-lion-king-3-hakuna-matata,6.6,2403
anouk-is-alive,4.3,2
the-golden-chance,6.8,5
under-the-boardwalk-the-monopoly-story,6.3,19
misfortune-2016,9.8,4
cop-dog,4.5,2
6-degrees-of-hell,3.5,10
the-man-from-the-sea,5.2,9
metallica-slayer-megadeth-anthrax-the-big-4-live-in-gothenburg-sweden,9.7,3
an-invisible-sign,5.1,83
vessel-2014,7.6,11
the-pyramid-2014,5.2,769
underground-2011,4.9,16
norfolk,6,5
the-tragic-mask-the-laird-cregar-story,7,1
mickey-mouse-clubhouse-mickeys-treat-2007-1,8.6,6
the-making-of-network,0,0
passerby-3,6,4
illusions-2015,3.5,4
art-of-falling-in-love,6.1,11
expatriot,5.2,20
black-water-abyss,5.1,287
super-fleet-sazer-x-the-movie-fight-star-soldiers,0,0
passion-2008,5.8,16
undefeated-2011,7.6,53
the-boneyard-2009,8,1
varicella,0,0
love-the-beast,6.4,22
the-bucks-county-massacre,4.7,9
pamela-secretos-de-una-pasion,6,6
the-strawberry-tree,6,1
brittany-runs-a-marathon,6.7,353
appleseed-xiii-ouranos,7,3
white-rush,4.6,5
heli,6.6,69
the-lumineers-live-on-kexp,0,0
wildness,6.8,4
circle-2014,5.5,4
checkpoint-berlin,6,1
doubt,7.2,1324
holy-rollers,5.8,65
bitter-sweet,4.9,5
modify,5.6,6
out-of-omaha,0,0
the-d-train,4.7,177
christmas-in-the-air,6.3,36
azumi,6.9,235
my-fiona,0,0
the-red-race,0,0
5-souls,4.9,10
thadam,7,28
the-pregnancy-pact,5,102
the-day-after-2017,6.4,57
beastly,6.3,2412
ferrari-race-to-immortality,7,60
ngk,4.8,18
meadowland,5.9,91
my-name-is-myeisha,4.7,3
beasts-of-no-nation,7.6,1335
aunty-donna-the-album-tour,10,1
flashburn,4.2,5
easter-bunny-adventure,6.4,5
mongolian-death-worm,4.9,40
the-wes-anderson-collection-the-grand-budapest-hotel,0,0
con-mis-propias-manos,5,2
hogfather,7,116
my-dead-dads-porno-tapes,7,15
bobby-robson-more-than-a-manager,6.9,39
een-telegram-uit-mexico,0,0
cheers-from-heaven,6.5,2
daughters-of-malakeh,0,0
outpost,6,172
farmingville,6.6,5
