movie_id,vote_average,vote_count
bear,4.1,18
the-fine-art-of-love-mine-ha-ha,4.6,11
chris-hardwick-mandroid,6.6,8
the-sound-of-mumbai-a-musical,8,1
the-amateurs,5.5,65
come-true,5.9,112
the-evil-that-men-do-2015,5.8,6
genius-2016,6.5,540
wasp-network,6.1,249
written-with-blood,5,3
nina-conti-clowning-around,0,0
yamamoto-eri-becomes-recoverability-zero,5,2
swept-under,5.7,53
the-making-of-nashville,0,0
estado-de-shock-industria-del-narco-y-guerra-espuria,0,0
i-used-to-go-here,5.5,31
the-lane,0,0
apollo-11-2019,7.9,445
cybornetics,4,1
blood-is-blood,6.5,8
whos-your-caddy,3.9,47
lucky-jim-2003,0,0
nowhere-michigan,0,0
corner-gas-the-movie,6.2,27
the-silent-shouting,3.3,3
birdboy-the-forgotten-children,7.5,76
mac-devin-go-to-high-school,6.3,307
hunted-2020,6.8,92
nona-if-they-soak-me-ill-burn-them,6.2,7
east-side-west-side-1923,0,0
ozark-sharks,4.2,41
anthropocene,0,0
teach-a-man-to-fish,0,0
palasa-1978,4,1
men-go-to-battle,5,8
both-2005,3.5,3
mental-2012,6,59
entre-piernas,5,3
firequake,4.4,24
holy-god-holy-mighty-holy-immortal-have-mercy-upon-us,6.5,2
the-body-2013,6,2
happy-toys,0,0
what-goes-up,5.6,23
we-love-you-sally-carmichael,6,12
notes-on-the-other,5,1
cyborg-hookers,7.3,3
fahrenhype-9-11,3.7,7
no-place-to-call-home,0,0
the-combination-redemption,5,2
falling-star,5.1,8
dr-feelgood,7,6
no-doubt,7,7
moving-on-2019,6.8,15
too-late-2015,7.4,58
anytown-usa,6.8,5
moving-art-underwater,9.3,6
damn,0,0
circle-in-the-sand,0,0
zoom,5.3,472
no-2-story-of-the-pencil,0,0
finding-altamira,5.7,113
gorillas-revisited-with-sir-david-attenborough,7.3,2
girl-in-the-sunny-place,6.1,13
fawn,0,0
whether-you-like-it-or-not-the-story-of-hedwig,7,1
tales-of-vesperia-the-first-strike,6.3,30
go-for-it,5.4,13
the-c-word,6.3,11
christmas-time,5.3,3
the-swing-of-things,5.2,88
the-county-fair,4.7,6
clinger,4.7,22
in-good-company-2004,6,487
niet-zonder-jou,0,0
sunset-edge,0,0
fury-2014,7.5,9448
elizabethtown,6.2,872
the-holy-girl,6.8,64
apocalypse-norway,4,2
the-maladjusted,7.5,5
the-ringer-2005,5.7,245
magical-universe,6.3,8
clearing-the-smoke-the-science-of-cannabis,0,0
around-the-world-in-80-days-2004,5.9,1916
native-son-2010,0,0
bomb-it-2,5.3,4
the-iron-orchard,6,4
i-am-patrick-the-patron-saint-of-ireland,6,7
fifty-shades-freed,6.7,6576
film:126516,3.6,21
morning-show-mysteries-a-murder-in-mind,6.5,13
down-the-deep-dark-web,7.7,9
the-departed,8.2,11746
z-o-m-b-i-e-s,7.5,481
wasted-orient,8,1
the-saphead,6.3,28
tracey-ullman-live-and-exposed,10,1
mamas-boy,4.5,54
borderline-murder,6,5
the-conspiracy,6,160
artifitial,5,2
metal-church-dynamo-classic-concerts-1991,0,0
down-in-the-valley-2015,0,0
stefan-v-s-kramer,5.1,8
the-haunting-of-whaley-house,4.6,36
tamaran-hill,1,1
