movie_id,rating_val,user_id
hatchet-ii,4,chavrosbaby
hatchet-ii,8,tonyterror
hatchet-ii,4,catelyn
hatchet-ii,8,pd187
hatchet-ii,7,coolnilk
hatchet-ii,6,silentjoe13
hatchet-ii,6,cinebro
hatchet-ii,7,grooveman
hatchet-ii,5,leschroeck
hatchet-ii,4,flaska11
hatchet-ii,7,smogo
hatchet-ii,2,madihatesfilm
hatchet-ii,6,auteur
hatchet-ii,5,therealmattc
hatchet-ii,8,jason_alley
hatchet-ii,7,marna
hatchet-ii,5,mook
hatchet-ii,6,andrerseits
hatchet-ii,6,hail_freyr
hatchet-ii,4,jeremy_crabb
hatchet-ii,6,timbrayton
hatchet-ii,6,mcp_daskino
hatchet-ii,6,kynky
hatchet-ii,7,champ83
hatchet-ii,7,rstrahs
hatchet-ii,6,maskull
hatchet-ii,7,jupinwhm
hatchet-ii,6,mikeyb98
hatchet-ii,6,mirishikiari
hatchet-ii,7,scrumblebunny
hatchet-ii,3,patrickripoll
hatchet-ii,4,hotdonkeybear
hatchet-ii,5,axxstin
hatchet-ii,5,jhillman
hatchet-ii,8,scalytugboat
hatchet-ii,6,domxrm
hatchet-ii,4,danboyle86
hatchet-ii,8,peepinstead
hatchet-ii,4,ihavebadtaste
hatchet-ii,9,zaragwen
hate-crime-2017,2,lastcooldude
hate-crimes-in-the-heartland,8,peepinstead
hateship-loveship,5,childrenofmen
hateship-loveship,5,iaiaiand
hateship-loveship,5,kaylafavia
hateship-loveship,5,punchdrunklizzy
hateship-loveship,6,alovelynite
hateship-loveship,6,lastcooldude
hateship-loveship,7,johntyler
hateship-loveship,5,theblogosfear
hateship-loveship,3,niceguys
hateship-loveship,4,michaelhaneke
hateship-loveship,4,letmeexplain
hateship-loveship,3,gonegirls
hateship-loveship,4,nickmcc2
hateship-loveship,5,estebueno
hateship-loveship,6,annakendrick
hateship-loveship,5,beniciodeltoro
hateship-loveship,2,reesepd
hateship-loveship,3,ghostdinosaur
hateship-loveship,6,ginnyweasley
hateship-loveship,6,tburnham
hateship-loveship,6,wampeter57
hateship-loveship,4,jamesbong
hating-alison-ashley,4,riley_danson
hatred-2015,6,hooded_justice
hats-off-to-christmas,2,sharktale
hats-off-to-christmas,2,adashelby
hatsu,6,bethanellen
haunted-boat,5,maskull
haunted-campus,6,hotsake
haunted-house-on-sorority-row,4,nevermore1985
haunted-house-on-sorority-row,4,ultimateparker
haunted-house-on-sorority-row,5,stevenmillan
haunted-maze,4,holliehorror
haunted-maze,3,ucrazyutaraptor
haunted-maze,3,frankenlotter
haunted-roots,5,dustin_b
haunters,3,kun
haunters,3,dillamonster
haunting-of-cellblock-11,3,mirishikiari
haunting-of-cellblock-11,3,jewbo23
haunting-of-the-mary-celeste,4,auteur
haunting-of-the-mary-celeste,5,dustin_b
haunting-of-winchester-house,3,marna
haunting-of-winchester-house,3,kevincormier
haunting-of-winchester-house,3,ji_doctor
haunting-on-fraternity-row,4,nevermore1985
haunting-on-fraternity-row,5,punchdrunklizzy
haunting-on-fraternity-row,1,uncutgems
haunting-on-fraternity-row,4,ucrazyutaraptor
haunting-on-fraternity-row,1,colinandrews
haunting-on-fraternity-row,3,buttcrack313
haunting-on-fraternity-row,2,cosmobrown
havana-darkness,3,matt_thomas10
havana-darkness,2,mcp_daskino
havana-darkness,4,dustin_b
have-a-song-on-your-lips,7,mrjago
have-a-song-on-your-lips,8,invincibleasia
have-you-seen-my-movie,6,cvall96
havoc,2,alovelynite
havoc,5,jack
havoc,4,silentjoe13
havoc,2,jennyslate
havoc,2,bbeksinski
havoc,6,riotglasses
havoc,5,notnatportman
havoc,3,kevin_matthews
havoc,4,ghostsmut
havoc,7,cjprobst83
havoc,5,ingmar
havoc,4,tommysyk
havoc,4,hotelearle
hawking,7,eely
hawking,5,jakeperalta
hawking,8,liveandrew
hayflick-limit,6,ji_doctor
hayride,5,holliehorror
hayride,3,todd_gaines
hayride,5,pd187
hazard,4,michaelhaneke
hazard,9,yeetismurder
hazard,7,peepinstead
