movie_id,rating_val,user_id
comet,5,ianamurray
comet,7,childrenofmen
comet,9,nycsubwayrat
comet,7,alexlawther
comet,5,punchdrunklizzy
comet,1,yazzjames
comet,7,oliviawildehawt
comet,5,ellefnning
comet,6,willhunting
comet,8,avadavis
comet,6,bethanywilson
comet,8,amandaayoung
comet,10,reygf
comet,7,niceguys
comet,5,jaimerebanal
comet,5,feedingbrett
comet,4,willas
comet,7,mariamicia13
comet,7,briantt
comet,7,juliendonkeyboi
comet,6,apocalypsenow
comet,7,ucrazyutaraptor
comet,1,silentjoe13
comet,7,eely
comet,6,lebrown
comet,9,haybatman
comet,9,milez
comet,2,ryangosling
comet,7,hollieamanda
comet,6,flaska11
comet,6,letmeexplain
comet,8,hauteprincesses
comet,7,coffeevirus
comet,9,thejacko
comet,6,ashmatxx
comet,8,moviemaestro
comet,6,gdw
comet,6,agastak
comet,8,buttcrack313
comet,7,cogerson
comet,8,balanders
comet,6,ianjonas
comet,6,soundturnedlow
comet,9,sofiaboutellas
comet,5,anhonestmess
comet,7,jakeperalta
comet,9,robertdavid
comet,8,bartonfinked
comet,4,realdaveimboden
comet,8,annakendrick
comet,5,isajjar
comet,8,alderwar
comet,5,gainsbourg
comet,5,mikeyb98
comet,5,thecomedian
comet,7,collin_clark
comet,8,paradoxdl
comet,5,willmoviefan97
comet,8,buttnugget
comet,7,mxddie_b
comet,7,steph_h
comet,8,tburnham
comet,2,cuqui
comet,6,madrose6
comet,3,scottrenshaw
comet,8,cinefeelya
comet,4,buffedfilmbuff
comet,7,rti03
comet,9,thatmoviefreak
comfort-stations,7,amateurdoubles
coming-going,6,moviemaestro
coming-to-america-jan-troell-on-the-emigrants-and-the-new-land,6,ladyspiggott
coming-with-my-brother,8,peepinstead
command-and-control,7,russman
command-and-control,6,jbouie
command-and-control,8,alexroy656
command-and-control,7,bobhoveyga
command-and-control,5,rickd
command-and-control,8,jennaipcar
command-and-control,7,wampeter57
command-and-control,9,kenru
commando-ninja,1,ucrazyutaraptor
commando-ninja,6,mook
commando-ninja,8,frankenlotter
common-carrier,6,msicism
common-carrier,5,calum_marsh
common-carrier,6,vrizov
common-ground-2019,8,maxthemoviegirl
communicating-vessels,7,vrizov
community,4,smogo
community,2,hail_freyr
community,3,musicbymilo
community,3,ji_doctor
company-2011,9,theendofcinema
company-2011,9,phrynefisher
company-2011,7,londono
company-2011,7,madihatesfilm
company-2011,9,lesaladino
company-2011,8,faretheewell
company-2011,9,suspiriorvm
company-2011,8,themyrka
company-2011,7,moviemaxwell
company-line,6,gdw
complicity-2018,7,zombaid
complicity-2018,7,wampeter57
compline,9,filipe_furtado
compline,8,murdermystery
compline,6,feuilladist
compline,7,vrizov
compound-fracture,6,stevenmillan
compound-fracture,6,dustin_b
compulsion-2016,2,alovelynite
compulsion-2016,6,letmeexplain
compulsion-2016,4,gonegirls
compulsion-2016,5,salinui
compulsion-2016,2,fookthis
con-amor,6,axelhagne
concerned-student-1950,7,aaronh
concerning-1000,4,loureviews
concert-for-george,8,willhunting
concrete-clouds,5,davidehrlich
concrete-clouds,7,peepinstead
concrete-cowboy,5,davidlsims
concrete-cowboy,4,jakepcole
concrete-cowboy,5,briantt
concrete-cowboy,7,jrwhite
concrete-cowboy,6,impressionblend
concrete-cowboy,6,lise
concrete-cowboy,7,cevangelista413
concrete-cowboy,6,ellakemp
concrete-cowboy,5,connorcarey
concrete-cowboy,6,seanfennessey
concrete-cowboy,7,jupinwhm
concrete-cowboy,6,realhenryb
concrete-cowboy,8,firstshowing
concrete-cowboy,4,finchet
concrete-cowboy,6,gubarenko
concrete-forms-of-resistance,6,chicofireman
concussion,7,catelyn
concussion,4,briantt
concussion,5,buttcrack313
concussion,9,symonymm
concussion,8,jehorowitz
concussion,6,amyja89
concussion,5,keithlaf
concussion,8,riotglasses
concussion,6,immortan_scott
concussion,7,scottrenshaw
concussion,5,ji_doctor
concussion,2,clairacurtis
concussion,7,baronronan
concussion,5,rti03
condemned-2015,2,buttcrack313
condemned-2015,4,filmfreek25
condemned-2015,6,rickd
condolences,8,peepinstead
confession-2014,6,kun
confession-2014,7,msicism
confession-2014,7,peepinstead
confession-of-murder,4,kun
confession-of-murder,6,cinemaclown
confession-of-murder,7,todd_gaines
confession-of-murder,8,lastcooldude
confession-of-murder,4,milez
confession-of-murder,7,leschroeck
confession-of-murder,6,axelhagne
confession-of-murder,6,itsnacool
confession-of-murder,9,bilboballin
confession-of-murder,6,lifeasfiction
confession-of-murder,8,jewbo23
confession-of-murder,5,tobe_whooper
confession-of-murder,8,peepinstead
confession-of-murder,8,frankenlotter
confession-of-murder,7,mrjago
confession-of-murder,7,invincibleasia
confessions-of-a-shopaholic,4,deathproof
confessions-of-a-shopaholic,8,silentdawn
confessions-of-a-shopaholic,6,juggernaut323
confessions-of-a-shopaholic,6,childrenofmen
confessions-of-a-shopaholic,5,iaiaiand
confessions-of-a-shopaholic,7,tarantulini
confessions-of-a-shopaholic,3,andredenervaux
confessions-of-a-shopaholic,4,sopheyquinn
confessions-of-a-shopaholic,6,davidfinchher
confessions-of-a-shopaholic,2,hammerbros94
confessions-of-a-shopaholic,8,arkhamoutlaw10
confessions-of-a-shopaholic,10,alovelynite
confessions-of-a-shopaholic,7,bluevelvets
confessions-of-a-shopaholic,2,yazzjames
confessions-of-a-shopaholic,2,oliviawildehawt
confessions-of-a-shopaholic,6,ellefnning
confessions-of-a-shopaholic,4,phrynefisher
confessions-of-a-shopaholic,6,bethanywilson
confessions-of-a-shopaholic,7,hewasthrfriendd
confessions-of-a-shopaholic,5,mariamicia13
confessions-of-a-shopaholic,5,sophiaplanos
confessions-of-a-shopaholic,6,mulaney
confessions-of-a-shopaholic,5,adashelby
confessions-of-a-shopaholic,5,impressionblend
confessions-of-a-shopaholic,6,eely
confessions-of-a-shopaholic,1,cinebro
confessions-of-a-shopaholic,8,jacksonmaines
confessions-of-a-shopaholic,9,filmgraphy
confessions-of-a-shopaholic,6,jurassicstark
confessions-of-a-shopaholic,7,sonnywortzik
confessions-of-a-shopaholic,6,itssofyann
confessions-of-a-shopaholic,6,cathyk
confessions-of-a-shopaholic,6,ellakemp
confessions-of-a-shopaholic,6,caityperrie
confessions-of-a-shopaholic,3,colinandrews
confessions-of-a-shopaholic,4,gonegirls
confessions-of-a-shopaholic,6,hauteprincesses
confessions-of-a-shopaholic,2,ashmatxx
confessions-of-a-shopaholic,6,nickmcc2
confessions-of-a-shopaholic,7,finnpoe
confessions-of-a-shopaholic,3,rsolsjo
confessions-of-a-shopaholic,6,thelastsith
